"","original_name"
"1","Phytoplankton"
"2","Zooplankton"
"3","Macrozoobenthos"
"4","Meiofauna"
"5","Cephalopods"
"6","Small pelagic fish"
"7","Decapterus"
"8","Sardinella lemuru"
"9","Medium pelagic fish"
"10","Demersal fish"
"11","Seabirds"
"12","Small cetacea"
"13","Large cetacea"
"14","Copepoda"
"15","Nereidae"
"16","Mollusc"
"17","Microcrustacean"
"18","Decapoda"
"19","Orthopristis chrysoptera"
"20","Lagodon rhomboides"
"21","Opisthonema oglinum"
"22","Harengula jaguana"
"23","Eucinostomus"
"24","Other fish"
"25","Benthic producer"
"26","Makaira mazara"
"27","Billfish"
"28","Xiphias gladius"
"29","Prionace glauca"
"30","Medium shark"
"31","Thunnus albacares"
"32","Thunnus obesus"
"33","Thunnus alalunga"
"34","Coryphaena hippurus"
"35","Katsuwonus pelamis"
"36","Scombrids"
"37","Ommastephes bartrami"
"38","Alepisaurus ferox"
"39","Flying fish"
"40","Mesopelagic fish"
"41","Epipelagic fish"
"42","Epipelagic micronekton"
"43","Mesopelagic micronekton"
"44","Haplochromis squamipinnis"
"45","Bagrus dogmac"
"46","Protopterus aethiopicus"
"47","Clarias gariepinus"
"48","Haplochromis angustifrons"
"49","Zoobenthos"
"50","Haplochromis nigripinnis"
"51","Oreochromis niloticus"
"52","Oreochromis leucostictus"
"53","Limnothrissa miodon"
"54","Synodontis zambezensis"
"55","Cichlids"
"56","Bivalvia"
"57","Macrophytes"
"58","Periphyton"
"59","Engraulicypris sardella"
"60","Chaoborus edulis"
"61","Copadichromis azureus"
"62","Lates"
"63","Luciolates stappersii"
"64","Stolothrissa tanganyicae"
"65","Hydrocynus forskalii"
"66","Synodontis schall"
"67","Alepisaurus"
"68","Benthic fish"
"69","Predatory haplochromines"
"70","Catfish"
"71","Snout"
"72","Benthivorous haplochromines"
"73","Rastrineobola argentea"
"74","Caridina nilotica"
"75","Oreochromis"
"76","Planktivorous haplochromines"
"77","Lates niloticus"
"78","Scombridae"
"79","Crustacea and Molluscs"
"80","Heterotrophic benthos"
"81","Pomatoschistus microps"
"82","Crangon crangon"
"83","Palaemon longirostris"
"84","Neomysis integer"
"85","Benthic predators"
"86","Benthic suspension feeders"
"87","Benthic deposit feeders"
"88","Phytobenthos"
"89","Snook"
"90","Croaker"
"91","Crabs"
"92","Shrimps"
"93","Anchoa"
"94","Gerreidae"
"95","Goby"
"96","Crustacea"
"97","Mugil curema"
"98","Crassostrea virginica"
"99","Mosses"
"100","Grasses"
"101","Shrubs"
"102","Forbs"
"103","Arthropods"
"104","Dicrostonyx groenlandicus"
"105","Rangifer tarandus"
"106","Ovibos moschatus"
"107","Lepus arcticus"
"108","Ptarmigan"
"109","Shorebirds"
"110","Waterfowl"
"111","Lichens"
"112","Geese"
"113","Plectrophenax nivalis"
"114","Lemmings"
"115","Microtus oeconomus"
"116","Passerines"
"117","Vulpes lagopus"
"118","Mustela erminea"
"119","Lemmus trimucronatus"
"120","Stercorarius longicaudus"
"121","Chen caerulescens"
"122","Gulls"
"123","Archosargus rhomboidalis"
"124","Arius"
"125","Haemulon plumieri"
"126","Bairdiella chrysoura"
"127","Acanthostracion quadricornis"
"128","Large shark"
"129","Hydrocynus vittatus"
"130","Opsaridium microcephalus"
"131","Rhamphochromis longiceps"
"132","Diplotaxodon"
"133","Carcharhinus melanopterus"
"134","Dicentrarchus labrax"
"135","Platichthys flesus"
"136","Lutjanus griseus"
"137","Carangidae"
"138","Citharichthys spilopterus"
"139","Opsanus beta"
"140","Sheephead"
"141","Chaetodipterus faber"
"142","Canis lupus arctos"
"143","Larus hyperboreus"
"144","Jaegers"
"145","Vulpes vulpes"
"146","Falcons"
"147","Buteo lagopus"
"148","Gulo gulo"
"149","Bubo scandiaca"
"150","Ursus horribilis"
"151","Falco peregrinus"
"152","Stercorarius parasiticus"
